Creating model...
2025-11-13 02:22:52 - feat_dataset.py - [32mINFO[0m : [32mSelected slice encoder models: ['dinov2', 'rad-dino', 'medsiglip', 'biomedclip', 'ark'][0m
2025-11-13 02:22:52 - feat_dataset.py - [32mINFO[0m : [32mSelected view planes: ['sagittal'][0m
/rwthfs/rz/cluster/home/qj474765/master_thesis/MedSliM/.venv/lib/python3.12/site-packages/torch/utils/data/dataloader.py:624: UserWarning: This DataLoader will create 8 worker processes in total. Our suggested max number of worker in current system is 4, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(                     
MedSliM Pre-training...:   6%|▌         | 29/500 [01:20<13:36,  1.73s/it] 
batch_size_per_device=128
                                             
Epoch 143; loss: 1.4563; lr: 0.00022
Epoch 144; loss: 1.4658; lr: 0.00022
Epoch 145; loss: 1.4384; lr: 0.00022
Epoch 146; loss: 1.4467; lr: 0.00022
Epoch 147; loss: 1.4367; lr: 0.00022
Epoch 148; loss: 1.4321; lr: 0.00022
Epoch 149; loss: 1.4392; lr: 0.00022
Epoch 150; loss: 1.4185; lr: 0.00022
Epoch 151; loss: 1.4366; lr: 0.00022
Epoch 152; loss: 1.4411; lr: 0.00022
Epoch 153; loss: 1.4300; lr: 0.00022
Epoch 154; loss: 1.4190; lr: 0.00022
Epoch 155; loss: 1.4487; lr: 0.00022
Epoch 156; loss: 1.4509; lr: 0.00022
Epoch 157; loss: 1.4248; lr: 0.00022
Epoch 158; loss: 1.4150; lr: 0.00022
Epoch 159; loss: 1.4213; lr: 0.00022
Epoch 160; loss: 1.3950; lr: 0.00021
Epoch 161; loss: 1.3922; lr: 0.00021
Epoch 162; loss: 1.3847; lr: 0.00021
Epoch 163; loss: 1.4133; lr: 0.00021
Epoch 164; loss: 1.4093; lr: 0.00021
Epoch 165; loss: 1.3843; lr: 0.00021
Epoch 166; loss: 1.3901; lr: 0.00021
Epoch 167; loss: 1.3697; lr: 0.00021
Epoch 168; loss: 1.4034; lr: 0.00021
Epoch 169; loss: 1.3818; lr: 0.00021
Epoch 170; loss: 1.3900; lr: 0.00021
Epoch 171; loss: 1.3710; lr: 0.00021
Epoch 172; loss: 1.3500; lr: 0.00021
Epoch 173; loss: 1.3509; lr: 0.00021
Epoch 174; loss: 1.3555; lr: 0.00021
Epoch 175; loss: 1.3431; lr: 0.00021
Epoch 176; loss: 1.3419; lr: 0.00020
Epoch 177; loss: 1.3477; lr: 0.00020
Epoch 178; loss: 1.3339; lr: 0.00020
Epoch 179; loss: 1.3350; lr: 0.00020
Epoch 180; loss: 1.3333; lr: 0.00020
Epoch 181; loss: 1.3520; lr: 0.00020
Epoch 182; loss: 1.3537; lr: 0.00020
Epoch 183; loss: 1.3469; lr: 0.00020
Epoch 184; loss: 1.3764; lr: 0.00020
Epoch 185; loss: 1.3379; lr: 0.00020
Epoch 186; loss: 1.3419; lr: 0.00020
Epoch 187; loss: 1.3472; lr: 0.00020
Epoch 188; loss: 1.3292; lr: 0.00020
Epoch 189; loss: 1.3107; lr: 0.00020
Epoch 190; loss: 1.3304; lr: 0.00019
Epoch 191; loss: 1.3236; lr: 0.00019
Epoch 192; loss: 1.3392; lr: 0.00019
Epoch 193; loss: 1.3258; lr: 0.00019
Epoch 194; loss: 1.3366; lr: 0.00019
Epoch 195; loss: 1.3094; lr: 0.00019
Epoch 196; loss: 1.3181; lr: 0.00019
Epoch 197; loss: 1.2925; lr: 0.00019
Epoch 198; loss: 1.3009; lr: 0.00019
Epoch 199; loss: 1.2957; lr: 0.00019
Epoch 200; loss: 1.2892; lr: 0.00019
Epoch 201; loss: 1.2755; lr: 0.00019
Epoch 202; loss: 1.2733; lr: 0.00019
Epoch 203; loss: 1.2648; lr: 0.00019
Epoch 204; loss: 1.2643; lr: 0.00018
Epoch 205; loss: 1.2804; lr: 0.00018
Epoch 206; loss: 1.2702; lr: 0.00018
Epoch 207; loss: 1.2635; lr: 0.00018
Epoch 208; loss: 1.2810; lr: 0.00018
Epoch 209; loss: 1.2684; lr: 0.00018
Epoch 210; loss: 1.2616; lr: 0.00018
Epoch 211; loss: 1.2522; lr: 0.00018
Epoch 212; loss: 1.2384; lr: 0.00018
Epoch 213; loss: 1.2407; lr: 0.00018
Epoch 214; loss: 1.2449; lr: 0.00018
Epoch 215; loss: 1.2267; lr: 0.00018
Epoch 216; loss: 1.2199; lr: 0.00018
Epoch 217; loss: 1.2152; lr: 0.00017
Epoch 218; loss: 1.2073; lr: 0.00017
Epoch 219; loss: 1.2209; lr: 0.00017
Epoch 220; loss: 1.2113; lr: 0.00017
Epoch 221; loss: 1.2232; lr: 0.00017
Epoch 222; loss: 1.2112; lr: 0.00017
Epoch 223; loss: 1.1984; lr: 0.00017
Epoch 224; loss: 1.2059; lr: 0.00017
Epoch 225; loss: 1.2184; lr: 0.00017
Epoch 226; loss: 1.2119; lr: 0.00017
Epoch 227; loss: 1.1948; lr: 0.00017
Epoch 228; loss: 1.1885; lr: 0.00017
Epoch 229; loss: 1.1853; lr: 0.00016
Epoch 230; loss: 1.1950; lr: 0.00016
Epoch 231; loss: 1.1953; lr: 0.00016
Epoch 232; loss: 1.1841; lr: 0.00016
Epoch 233; loss: 1.1916; lr: 0.00016
Epoch 234; loss: 1.1891; lr: 0.00016
Epoch 235; loss: 1.1742; lr: 0.00016
Epoch 236; loss: 1.1867; lr: 0.00016
Epoch 237; loss: 1.1854; lr: 0.00016
Epoch 238; loss: 1.1775; lr: 0.00016
Epoch 239; loss: 1.1761; lr: 0.00016
Epoch 240; loss: 1.1738; lr: 0.00016
Epoch 241; loss: 1.1619; lr: 0.00015
Epoch 242; loss: 1.1732; lr: 0.00015
Epoch 243; loss: 1.1663; lr: 0.00015
Epoch 244; loss: 1.1562; lr: 0.00015
Epoch 245; loss: 1.1519; lr: 0.00015
Epoch 246; loss: 1.1480; lr: 0.00015
Epoch 247; loss: 1.1539; lr: 0.00015
Epoch 248; loss: 1.1518; lr: 0.00015
Epoch 249; loss: 1.1522; lr: 0.00015
Epoch 250; loss: 1.1491; lr: 0.00015
Epoch 251; loss: 1.1394; lr: 0.00015
Epoch 252; loss: 1.1446; lr: 0.00015
Epoch 253; loss: 1.1448; lr: 0.00014
Epoch 254; loss: 1.1383; lr: 0.00014
Epoch 255; loss: 1.1436; lr: 0.00014
Epoch 256; loss: 1.1335; lr: 0.00014
Epoch 257; loss: 1.1424; lr: 0.00014
Epoch 258; loss: 1.1377; lr: 0.00014
Epoch 259; loss: 1.1335; lr: 0.00014
Epoch 260; loss: 1.1266; lr: 0.00014
Epoch 261; loss: 1.1222; lr: 0.00014
Epoch 262; loss: 1.1246; lr: 0.00014
Epoch 263; loss: 1.0953; lr: 0.00014
Epoch 264; loss: 1.1036; lr: 0.00013
Epoch 265; loss: 1.1023; lr: 0.00013
Epoch 266; loss: 1.0970; lr: 0.00013
Epoch 267; loss: 1.1101; lr: 0.00013
Epoch 268; loss: 1.0937; lr: 0.00013
Epoch 269; loss: 1.1035; lr: 0.00013
Epoch 270; loss: 1.0967; lr: 0.00013
Epoch 271; loss: 1.1035; lr: 0.00013
Epoch 272; loss: 1.1077; lr: 0.00013
Epoch 273; loss: 1.1001; lr: 0.00013
Epoch 274; loss: 1.0904; lr: 0.00013
Epoch 275; loss: 1.0907; lr: 0.00013
Epoch 276; loss: 1.0854; lr: 0.00012
Epoch 277; loss: 1.0895; lr: 0.00012
Epoch 278; loss: 1.0926; lr: 0.00012
Epoch 279; loss: 1.0960; lr: 0.00012
Epoch 280; loss: 1.0878; lr: 0.00012
Epoch 281; loss: 1.0787; lr: 0.00012
Epoch 282; loss: 1.0713; lr: 0.00012
Epoch 283; loss: 1.0778; lr: 0.00012
Epoch 284; loss: 1.0769; lr: 0.00012
Epoch 285; loss: 1.0785; lr: 0.00012
Epoch 286; loss: 1.0650; lr: 0.00012
Epoch 287; loss: 1.0739; lr: 0.00011
Epoch 288; loss: 1.0635; lr: 0.00011
Epoch 289; loss: 1.0662; lr: 0.00011
Epoch 290; loss: 1.0589; lr: 0.00011
Epoch 291; loss: 1.0498; lr: 0.00011
Epoch 292; loss: 1.0634; lr: 0.00011
Epoch 293; loss: 1.0648; lr: 0.00011
Epoch 294; loss: 1.0425; lr: 0.00011
Epoch 295; loss: 1.0440; lr: 0.00011
Epoch 296; loss: 1.0554; lr: 0.00011
Epoch 297; loss: 1.0441; lr: 0.00011
Epoch 298; loss: 1.0390; lr: 0.00011
Epoch 299; loss: 1.0397; lr: 0.00010
Epoch 300; loss: 1.0462; lr: 0.00010
Epoch 301; loss: 1.0473; lr: 0.00010
Epoch 302; loss: 1.0368; lr: 0.00010
Epoch 303; loss: 1.0436; lr: 0.00010
Epoch 304; loss: 1.0406; lr: 0.00010
Epoch 305; loss: 1.0415; lr: 0.00010
Epoch 306; loss: 1.0394; lr: 0.00010
Epoch 307; loss: 1.0324; lr: 0.00010
Epoch 308; loss: 1.0370; lr: 0.00010
Epoch 309; loss: 1.0257; lr: 0.00010
Epoch 310; loss: 1.0306; lr: 0.00009
Epoch 311; loss: 1.0364; lr: 0.00009
Epoch 312; loss: 1.0308; lr: 0.00009
Epoch 313; loss: 1.0208; lr: 0.00009
Epoch 314; loss: 1.0228; lr: 0.00009
Epoch 315; loss: 1.0272; lr: 0.00009
Epoch 316; loss: 1.0200; lr: 0.00009
Epoch 317; loss: 1.0149; lr: 0.00009
Epoch 318; loss: 1.0144; lr: 0.00009
Epoch 319; loss: 1.0250; lr: 0.00009
Epoch 320; loss: 1.0166; lr: 0.00009
Epoch 321; loss: 1.0180; lr: 0.00009
Epoch 322; loss: 1.0109; lr: 0.00008
Epoch 323; loss: 1.0290; lr: 0.00008
Epoch 324; loss: 1.0284; lr: 0.00008
Epoch 325; loss: 1.0169; lr: 0.00008
Epoch 326; loss: 1.0099; lr: 0.00008
Epoch 327; loss: 1.0184; lr: 0.00008
Epoch 328; loss: 1.0042; lr: 0.00008
Epoch 329; loss: 1.0152; lr: 0.00008
Epoch 330; loss: 1.0070; lr: 0.00008
Epoch 331; loss: 1.0143; lr: 0.00008
Epoch 332; loss: 1.0055; lr: 0.00008
Epoch 333; loss: 1.0127; lr: 0.00008
Epoch 334; loss: 1.0067; lr: 0.00008
Epoch 335; loss: 0.9971; lr: 0.00007
Epoch 336; loss: 1.0013; lr: 0.00007
Epoch 337; loss: 1.0002; lr: 0.00007
Epoch 338; loss: 1.0018; lr: 0.00007
Epoch 339; loss: 0.9977; lr: 0.00007
Epoch 340; loss: 0.9996; lr: 0.00007
Epoch 341; loss: 0.9827; lr: 0.00007
Epoch 342; loss: 0.9931; lr: 0.00007
Epoch 343; loss: 0.9970; lr: 0.00007
Epoch 344; loss: 0.9792; lr: 0.00007
Epoch 345; loss: 0.9969; lr: 0.00007
Epoch 346; loss: 0.9962; lr: 0.00007
Epoch 347; loss: 0.9944; lr: 0.00006
Epoch 348; loss: 0.9880; lr: 0.00006
Epoch 349; loss: 0.9954; lr: 0.00006
Epoch 350; loss: 0.9956; lr: 0.00006
Epoch 351; loss: 0.9941; lr: 0.00006
Epoch 352; loss: 0.9779; lr: 0.00006
Epoch 353; loss: 0.9804; lr: 0.00006
Epoch 354; loss: 0.9877; lr: 0.00006
Epoch 355; loss: 0.9852; lr: 0.00006
Epoch 356; loss: 0.9839; lr: 0.00006
Epoch 357; loss: 0.9921; lr: 0.00006
Epoch 358; loss: 0.9800; lr: 0.00006
Epoch 359; loss: 0.9825; lr: 0.00006
Epoch 360; loss: 0.9793; lr: 0.00006
Epoch 361; loss: 0.9779; lr: 0.00005
Epoch 362; loss: 0.9708; lr: 0.00005
Epoch 363; loss: 0.9768; lr: 0.00005
Epoch 364; loss: 0.9809; lr: 0.00005
Epoch 365; loss: 0.9863; lr: 0.00005
Epoch 366; loss: 0.9798; lr: 0.00005
Epoch 367; loss: 0.9760; lr: 0.00005
Epoch 368; loss: 0.9784; lr: 0.00005
Epoch 369; loss: 0.9751; lr: 0.00005
Epoch 370; loss: 0.9699; lr: 0.00005
Epoch 371; loss: 0.9776; lr: 0.00005
Epoch 372; loss: 0.9733; lr: 0.00005
Epoch 373; loss: 0.9676; lr: 0.00005
Epoch 374; loss: 0.9698; lr: 0.00005
Epoch 375; loss: 0.9652; lr: 0.00004
Epoch 376; loss: 0.9761; lr: 0.00004
Epoch 377; loss: 0.9774; lr: 0.00004
Epoch 378; loss: 0.9714; lr: 0.00004
Epoch 379; loss: 0.9673; lr: 0.00004
Epoch 380; loss: 0.9661; lr: 0.00004
Epoch 381; loss: 0.9718; lr: 0.00004
Epoch 382; loss: 0.9560; lr: 0.00004
Epoch 383; loss: 0.9724; lr: 0.00004
Epoch 384; loss: 0.9654; lr: 0.00004
Epoch 385; loss: 0.9713; lr: 0.00004
Epoch 386; loss: 0.9682; lr: 0.00004
Epoch 387; loss: 0.9708; lr: 0.00004
Epoch 388; loss: 0.9600; lr: 0.00004
Epoch 389; loss: 0.9650; lr: 0.00004
Epoch 390; loss: 0.9642; lr: 0.00004
Epoch 391; loss: 0.9645; lr: 0.00003
Epoch 392; loss: 0.9584; lr: 0.00003
Epoch 393; loss: 0.9558; lr: 0.00003
Epoch 394; loss: 0.9728; lr: 0.00003
Epoch 395; loss: 0.9672; lr: 0.00003
Epoch 396; loss: 0.9599; lr: 0.00003
Epoch 397; loss: 0.9600; lr: 0.00003
Epoch 398; loss: 0.9467; lr: 0.00003
Epoch 399; loss: 0.9666; lr: 0.00003
Epoch 400; loss: 0.9615; lr: 0.00003
Epoch 401; loss: 0.9636; lr: 0.00003
Epoch 402; loss: 0.9494; lr: 0.00003
Epoch 403; loss: 0.9454; lr: 0.00003
Epoch 404; loss: 0.9512; lr: 0.00003
Epoch 405; loss: 0.9598; lr: 0.00003
Epoch 406; loss: 0.9553; lr: 0.00003
Epoch 407; loss: 0.9558; lr: 0.00003
Epoch 408; loss: 0.9499; lr: 0.00002
Epoch 409; loss: 0.9467; lr: 0.00002
Epoch 410; loss: 0.9500; lr: 0.00002
Epoch 411; loss: 0.9484; lr: 0.00002
Epoch 412; loss: 0.9517; lr: 0.00002
Epoch 413; loss: 0.9595; lr: 0.00002
Epoch 414; loss: 0.9509; lr: 0.00002
Epoch 415; loss: 0.9497; lr: 0.00002
Epoch 416; loss: 0.9445; lr: 0.00002
Epoch 417; loss: 0.9612; lr: 0.00002
Epoch 418; loss: 0.9480; lr: 0.00002
Epoch 419; loss: 0.9523; lr: 0.00002
Epoch 420; loss: 0.9550; lr: 0.00002
Epoch 421; loss: 0.9537; lr: 0.00002
